Id,label
0560,glass
4675,cup
0875,glass
4436,spoon
8265,plate
2422,cup
4617,knife
6446,fork
8882,cup
4257,knife
8705,cup
5952,cup
1533,cup
1717,knife
1228,fork
4138,cup
4499,plate
2220,plate
1085,cup
8987,spoon
3847,cup
7143,spoon
7042,knife
5511,spoon
6333,spoon
8307,cup
5589,spoon
6826,knife
3354,plate
0241,plate
7406,knife
2495,cup
6477,glass
9407,cup
9008,spoon
7541,knife
3201,plate
4853,plate
2031,glass
7395,plate
5596,plate
5272,knife
1279,fork
5964,cup
4047,plate
8622,knife
9249,knife
4766,knife
8500,plate
9312,cup
6796,spoon
3801,knife
4786,plate
2112,fork
5984,knife
1324,cup
3929,glass
4110,glass
8112,spoon
3732,spoon
0138,glass
9445,plate
0373,plate
8092,plate
2954,spoon
2122,cup
0598,fork
0442,glass
3258,cup
0100,cup
2296,glass
4445,cup
4826,glass
6562,knife
6659,knife
0755,glass
4178,plate
6617,spoon
6912,plate
3806,knife
8636,plate
5384,fork
8075,fork
5567,spoon
8923,knife
5472,plate
7322,plate
7155,plate
2338,fork
0463,glass
3924,spoon
6786,plate
8903,glass
3910,spoon
8096,glass
0505,knife
6910,plate
6429,spoon
3735,cup
8409,plate
2967,plate
2751,spoon
6266,spoon
2104,knife
4962,fork
7826,cup
1698,plate
7106,fork
5211,spoon
3928,cup
4087,spoon
9041,glass
8553,cup
3546,spoon
8539,spoon
9361,spoon
2053,fork
2852,plate
6521,spoon
5651,plate
1978,spoon
5118,knife
7218,cup
8164,plate
8739,knife
6990,fork
8435,cup
6898,fork
7442,fork
6929,cup
8688,knife
3218,plate
2170,spoon
3462,cup
4595,cup
2356,plate
7641,plate
8124,cup
1916,plate
2172,glass
3715,plate
6253,spoon
1654,cup
4378,glass
4979,glass
0911,fork
0149,cup
8268,cup
1525,spoon
0451,cup
0148,cup
7477,cup
6580,cup
3880,spoon
0237,knife
4234,fork
8643,cup
0188,spoon
4135,plate
3944,cup
0262,plate
1235,cup
5405,cup
2517,cup
5147,plate
9255,cup
7662,spoon
4505,glass
9109,cup
2385,cup
6897,spoon
7580,spoon
1780,cup
5368,cup
2381,knife
4160,plate
6836,cup
2140,plate
5055,glass
1191,glass
3195,cup
6145,spoon
8467,fork
5660,plate
0320,cup
0618,spoon
5655,cup
0691,spoon
1864,plate
7740,glass
5974,fork
9188,plate
0644,glass
1553,cup
5117,glass
5571,spoon
6930,knife
1246,cup
4674,glass
0821,glass
5918,knife
7724,plate
5714,glass
3112,cup
8935,glass
3808,knife
2142,plate
8679,knife
8990,spoon
7056,glass
1080,cup
8434,cup
8160,knife
5106,fork
7871,cup
2591,spoon
9359,spoon
3067,spoon
4744,plate
6835,spoon
7230,glass
4034,glass
8024,cup
7752,knife
1988,fork
6134,cup
5514,plate
2243,cup
5019,cup
1158,spoon
9066,spoon
9333,knife
4739,spoon
6860,cup
1617,plate
2088,knife
8279,knife
6481,plate
4890,knife
1272,spoon
0748,knife
3451,glass
8354,plate
7303,spoon
8210,knife
0027,knife
1357,knife
0347,plate
0890,cup
4207,spoon
9055,glass
7084,spoon
7214,fork
0957,glass
2963,cup
7187,plate
7252,glass
4048,plate
5162,fork
5293,glass
4946,glass
8905,plate
4571,glass
6177,cup
8670,plate
6552,plate
6157,plate
8932,cup
7420,plate
0272,knife
2650,fork
7361,glass
7859,plate
2059,plate
7253,cup
4377,knife
